Title,Year,Director,Hero,Grade,Confidence,Critical Issues,Warning Issues
"Ranasthali",2022,"Parasuram Srinivas","Neela Madhava Dharma",C,81%,"release_date",""
"Looop Lapeta",2022,"Aakash Bhatia","Taapsee Pannu",C,81%,"",""
"Nenu C/o Nuvvu",2022,"Saga Reddy Thumma","Rathna Kishore",C,75%,"",""
"Puss in Boots: The Last Wish",2022,"Joel Crawford","Antonio Banderas",C,81%,"",""
"Super Sharanya",2022,"Girish A. D.","Anaswara Rajan",C,81%,"",""
"Darja",2022,"Saleem Malik","Sunil Varma",C,78%,"release_date",""
"7 Days 6 Nights",2022,"M.S. Raju","Sumanth Ashwin",C,74%,"",""
"Selena Gomez: My Mind & Me",2022,"Alek Keshishian","Selena Gomez",C,81%,"release_date",""
"The Elephant Whisperers",2022,"Kartiki Gonsalves","Bomman",C,73%,"release_date",""
"Redeeming Love",2022,"D.J. Caruso","Abigail Cowen",C,82%,"title",""
"Cauliflower",2021,"R. K. Malineni","Sampoornesh Babu",C,79%,"title; release_date","synopsis"
"Saani Kaayidham",2022,"Arun Matheswaran","Keerthy Suresh",C,81%,"",""
"White Bird",2023,"Marc Forster","Ariella Glaser",C,81%,"",""
"Kousalya Supraja Rama",2023,"Surya Prasad","Meka Srikanth",C,78%,"title; release_date",""
"Daredevil Musthafa",2023,"Shashank Soghal","Aditya Ashree",C,81%,"",""
"Case 30",2023,"Sandeep Palle","Siddharth Naidu",C,70%,"",""
"Ahimsa",2023,"Teja","Kamal Kamaraju",C,78%,"title","synopsis"
"Miss. Shetty Mr. Polishetty",2023,"Mahesh Babu P","Anushka Shetty",C,77%,"",""
"Happy Birthday",2022,"Aruna Jayawardana","Soorya Dayaruwan",D,76%,"",""
"Rudrangi",2023,"Ajay Samrat","Jagapathi Babu",D,78%,"release_date",""
"Leo",2023,"Lokesh Kanagaraj","Vijay",D,80%,"release_date",""
"Krishna Rama",2023,"Raj Madiraju","Rajendra Prasad",D,74%,"",""
"Beast",2022,"Nelson Dilipkumar","Vijay",D,70%,"release_date",""
"Magic",,"Gowtam Tinnanuri","Sara Arjun",D,74%,"",""
"Devil",2023,"Cameron Cairnes","David Dastmalchian",D,76%,"",""
"Jigra",2024,"Vasan Bala","Alia Bhatt",D,80%,"",""
"Boo",2023,"Emillia  Adey","Amelie williams",D,80%,"title","synopsis"
"Madhurapudi Granam Ane Nenu",2023,"Kalyan Chakravarthy","Shiva Kantamaneni",D,71%,"",""
"Spy",2023,"Raj Madiraju","Nikhil Siddhartha",D,78%,"title","synopsis"
"Mr. King",2023,"Sasiidhar","Sharan Kumar",D,76%,"release_date",""
"Agent",2023,"Hemal Tummapudi","Lokaditya Siram Vardhan",D,75%,"",""
"Highway",2022,"K. V. Guhan","Anand Deverakonda",D,78%,"title","synopsis"
"10 Rupees",2023,"S. Ravikanth","Srikanth",D,71%,"release_date",""
"Vaazha",2024,"Anand Menen","Siju Sunny",D,80%,"",""
"Vishwak",2022,"Venugopal","Ajay Kumar",D,72%,"",""
"KA",2024,"Anggy Umbara","Giulio Parengkuan",D,76%,"",""
"Fear",2024,"Haritha Gogineni","Vedhika",D,78%,"title","synopsis"
"Eesaraina!?",2024,"Eshaku Dasari","Goutham",D,74%,"",""
"Nimona",2023,"Nick Bruno","Chloë Grace Moretz",D,82%,"title",""
"Memoir of a Snail",2024,"Adam Elliot","Sarah Snook",D,80%,"",""
"Ghatikachalam",2025,"Ravi Babu","Naresh",D,79%,"",""
"Pickpocket",2022,"Rajesh Kumar","Sreenu",D,73%,"release_date",""
"Jack",2025,"Quentin Tarantino","Siddhu Jonnalagadda",D,80%,"title","synopsis"
"Butterfly",2022,"Emy Jay","Charles ""Skeeta"" Jenkins",D,80%,"title","synopsis"
"Making Squid Game: The Challenge",2023,"","Nicola Brown",D,78%,"",""
"Lover",2024,"Prabhuram Vyas","Manikandan",D,72%,"title; release_date","synopsis"
"Shambhala",2025,"Toshio Sekine","Mo Tzu-Yi",D,77%,"title",""
"Marco",2024,"Haneef Adeni","Unni Mukundan",D,77%,"title","synopsis"
"Star",2024,"Elan","Kavin Raj",D,81%,"title","synopsis"
"Valari",2024,"M. Mallikarjun","Ritika Singh",D,74%,"",""
"RRR",2022,"S. S. Rajamouli","N.T. Rama Rao Jr.",D,78%,"release_date",""
"Don",2022,"Cibi Chakaravarthi","Sivakarthikeyan",D,81%,"title","synopsis"
"MAX",2024,"Vijay Kartikeyaa","Sudeepa",D,80%,"",""
"Lilly",2024,"Rachel Feldman","John Benjamin Hickey",D,75%,"title; release_date","synopsis"
"Lenin",,"Murali Kishor Abburu","Akhil Akkineni",D,66%,"",""
"10",2022,"Karm Chawla","Vinay Rajkumar",D,81%,"title","synopsis"
"Anaganaga",2025,"Taraka Rama","Saanya Bhatnagar",D,80%,"release_date",""
"Plot",2023,"Bhanu Bhava","Vikas",D,72%,"",""
"Kill",2024,"Nikhil Nagesh Bhat","Lakshya Lalwani",D,80%,"",""
"Committee Kurrollu",2024,"Yadhu Vamsi","Sandeep Saroj",D,72%,"",""
"Hero",2022,"Thomas Astruc","Benjamin Bollen",D,79%,"",""
"Vedha",2022,"A Harsha","Shiva Rajkumar",D,81%,"title","synopsis"
"Chivaraku Migiledi",2024,"Chandrasekhar Rathod","Anji Ram",D,72%,"",""
"Shattered Illusions",2024,"Ganesh Yallapragada","Achyuth Ram Prasad",D,72%,"",""
"Champion",2025,"Vikrant Rudra","Roshan Meka",D,78%,"title","synopsis"
"Arjun Chakravarthy",2025,"Vikrant Srinivas","Vijaya Rama Raju",D,72%,"",""
"Nobody 2",2025,"Timo Tjahjanto","Bob Odenkirk",D,80%,"release_date",""
"The King of Kings",2025,"Jang Seong-ho","Oscar Isaac",D,81%,"title","synopsis"
"Spirit",,"Sandeep Reddy Vanga","Prabhas",D,76%,"",""
"Sagiletikatha",2023,"Rajshekar","Raviteja Mahadasyam",D,72%,"",""
"Pushpak Vimaan",2024,"Ullas Krishna","Balu Varghese",D,68%,"",""
"Dragon",2025,"Ashwath Marimuthu","Pradeep Ranganathan",D,74%,"title; release_date","synopsis"
"Yashoda",2022,"K. Hari Shankar","Samantha Ruth Prabhu",D,76%,"",""
"Subham",2025,"Praveen Kandregula","Srinivas Gavireddy",D,78%,"release_date",""
"Muthayya",2022,"Bhaskar Maurya","K. Sudhakar Reddy",D,74%,"",""
"Identity",2025,"Anas Khan","Tovino Thomas",D,76%,"title","synopsis"
"Santosh",2025,"Sandhya Suri","Shahana Goswami",D,80%,"",""
"Legacy",,"Saikiran Daida","Vishwak Sen",D,76%,"",""
"Guard",2025,"James Gunn","Chris Pratt",F,71%,"",""
