Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2003	Maa Bapu Bommaku Pellanta	Ravi Raja Pinisetty	Ajay Raghavendra	Gayathri Raguram			Drama
2003	Evare Athagadu	Chandra Mahesh	Venu	Sneha			Drama
2003	Simhachalam	Eashwar	Srikanth	Kalyani			Drama
2002	Okato Number Kurraadu	A. Kodandarami Reddy	Nandamuri Taraka Ratna	Rekha Vedavyas			Drama
2002	Vachina Vaadu Suryudu	Krisha, Lakshmana Swamy, Vijayachander, Rahul, Lahari	Srikanth	Raasi			Drama
2002	Bharata Simha Reddy	Surya	Rajasekhar	Gajala			Drama
2002	Tappu Chesi Pappu Koodu	A. Kodandarami Reddy	Mohan Babu	Srikanth			Drama
2002	Chandravamsam	Sivaji	Krishna	Anushka Shetty			Drama
2002	Malli Malli Chudali	Venu, Janani	Venu	Raasi			Drama
2002	Nee Premakai	Balu Mahendra	Vineeth	Laila			Drama
2002	Neetho Cheppalani	E.V.V. Satyanarayana	Srikanth	Aarthi Agarwal			Drama
2002	Parasuram	Bhimaneni Srinivasa Rao	Srikanth	Rakshita			Drama
2002	Pilisthe Palukutha	Kodi Ramakrishna	Jagapathi Babu	Kalyani			Drama
2002	Raghava	Veera	Prabhas	Anshu			Action
2002	Yuva Rathna	Jayaraj	Jr NTR	Bhuvaneswari			Action
2002	Dream	Bhavani Shankar	Jagapathi Babu	Isha Koppikar			Drama
2002	Vooru Manadiraa	R	Siddappa Naidu	Siddappa Naidu			Drama
2002	Mounamelanoyi	Subbu	Tarun	Vanessa Triest			Drama
2002	Girl Friend	Sarath Mandava	Vikram	Sada			Drama
2002	Adrustam	Lawrence	Tarun	Reema Sen			Drama
2002	Holi	Suresh Krissna	Uday Kiran	Richa Pallod			Drama
2002	Priya Nestama	Raj Kumar	Srikanth	Soundarya			Drama
2002	O Chinnadana	Kodandarami Reddy	Srikanth	Raja Rakshitha			Drama
2001	Veedekkadi Mogudandi?	E.V.V. Satyanarayana	Jagapathi Babu	Rachana Banerjee			Drama
2001	Navvuthu Bathakalira	Kodi Ramakrishna	Jagapathi Babu	Kalyani			Drama
2001	Repallelo Radha	Gary BH	Srikanth	Raasi			Drama
2001	Pandanti Samsaram	Krishna Vamsi	Krishna	No Female Lead			Drama
2001	Thank You Subba Rao	E. V. V. Satyanarayana	Srihari	Prakash Raj			Drama
2001	Chirujallu	Ashok Rao	Venu	Prema			Drama
2001	Jabili	N. Sankaranarayanan	Srikanth	Raasi			Drama
2001	Atu America Itu India	Gummaluri Shastry	Sunny	Vanessa			Drama
2001	Prema Sandadi	K. Balachander	Srikanth	Prema			Drama
2001	Soori	Suresh Krissna	Venu	Dhanya			Drama
2001	Ammaye Navvithe	V. Samudra	Rajendra Prasad	Bhavana			Drama
2001	Bhadrachalam	N. Shankar	Srihari	Sindhu Menon			Drama
2001	Chinna	Wangaleedharan	Arjun	Shakeela			Action
2001	Ramma Chilakamma	Muppalaneni Shiva	Shivaji	Isha Koppikar			Drama
2001	Kalisi Naduddam	E.V.V. Satyanarayana	Srikanth	Raasi			Drama
2001	Athanu	Suresh Krissna	Sai Kumar	Rachana			Drama
2001	Darling Darling	Vamsy	Balu	Sakshi Sivanand			Drama
2001	Dadagiri	Krishna	Krishna	No Female Lead			Drama
2001	B. Gopal	B Gopal	Srikanth	Raasi			Drama
2001	Railway Coolie	Sarath	Vijayakanth	Meena			Drama
2001	Chandra Mahesh	Jayaraj	Srikanth	Raasi			Drama
2001	Muthyam	Jeevitha	Srikanth	Rachana			Drama
2001	Apparao ki Oka Nela Thappindi	Relangi Narasimha Rao	Rajendra Prasad	Madhusmita			Drama
2001	Adhipathi	Ravi Raja Pinisetty	Mohan Babu	Soundarya			Drama
2001	Srikanth	Sagar	Srikanth	Venu Madhav's sister, but the actual heroine name is Unknown			Drama
2000	Moodu Mukkalaata	Koda Ramakrishna	Jagapathi Babu	Raasi			Drama
2000	Kauravudu	T. S. Suresh Babu	Arjun	Ramya Krishnan			Action
2000	Yee Taram Nehru	Shiva	Krishna	No Female Lead			Drama
2000	Okkadu Chalu	Ravi Raja Pinisetty	Rajasekhar	Rambha			Drama
2000	Manasu Paddanu Kaani	Veeru K.	Venu	Raasi			Drama
2000	Choosoddaam Randi	Muppalaneni Siva	Srikanth	Sakshi Sivanand			Drama
2000	Durga	E.V.V. Satyanarayana	Ravi Teja	Ishaa Koppikar			Action
2000	Maa Annayya	Ravi Raja Pinisetty	Rajasekhar	Meena			Drama
2000	Chiru Navvutho	G. Ram Prasad	Venu	Prema			Drama
2000	Pelli Sambandham	Kondapalli Dasaradh	Srikanth	Venu Thottempudi's co-star, but I am not confident about the heroine's name, so: Unknown			Drama
2000	Sakutumba Saparivaara Sametam	S. V. Krishna Reddy	Akkineni Nageswara Rao	Srikanth			Drama
1999	Dollar Dreams	Sekhar Kammula	Sakshi Ranga Rao	Rekha			Drama
1999	Panchadara Chilaka	Dasari Narayana Rao	Srikanth	Sonali Bendre			Drama
1999	Speed Dancer	Muppalaneni Shiva	Raghava Lawrence	Monica Bedi			Drama
1999	Naa Hrudayamlo Nidurinche Cheli	AVS Adi Narayana	Vadde Naveen	Laila			Drama
1999	Ammo Polisollu	E.V.V. Satyanarayana	Sumanth	Sneha			Drama
1999	Asala Sandadi	Relangi Narasimha Rao	Jagapathi Babu	Raasi			Drama
1999	Anaganaga Oka Ammai	Ramesh Sarangan	Srikanth	Soundarya			Drama
1999	Velugu Needalu	K. Vasu	Jagapathi Babu	Soundarya			Drama
1999	Veedu Samanyudu Kadhu	Uppalapati Narayana	Prakash Raj	Raasi			Drama
1999	Harischandraa	Suresh Krishna	Srikanth	Soundarya			Drama
1999	Kaama	Suresh Krissna	Jagapathi Babu	Raasi			Drama
1999	Yamajathakudu	N Shankar	Mohan Babu	Ramya Krishnan			Drama
1999	Ramasakkanodu	Kamal Haasan	Kamal Haasan	Abhirami			Drama
1999	A. K. 47	E. V. V. Satyanarayana	Sai Kumar	Raasi			Action
1999	Sambayya	S V Krishna Reddy	Jagapathi Babu	Raasi			Drama
1999	Aavide Syamala	K Vasu	Srikanth	Raasi			Drama
1999	Swapnalokam	Bhimaneni Srinivasa Rao	Jagapathi Babu	No Female Lead			Drama
1999	Manavudu Danavudu	K. Raghavendra Rao	Krishna	Shilpa Shetty			Drama
1999	Raja Kumarudu	K. Raghavendra Rao	Mahesh Babu	Preity Zinta			Drama
1999	Mechanic Mavayya	Mutyala Subbaiah	Srikanth	Raasi			Drama
1999	Gurupoornima	P. N. Ramachandra Rao	Jagapathi Babu	Maheswari			Drama
1999	Vichitram	Jandhyala	Srikanth	Raasi			Drama
1999	Maanavudu Daanavudu	Krishna Reddy	Krishna	Soundarya			Drama
1998	Priyuralu	Muppalaneni Siva	Vineeth	Anju Aravind			Drama
1998	Sivayya	Suresh Varma	Jagapathi Babu	Maheswari			Drama
1998	Hello...yama!	Pavithran	Suresh	Kota Srinivasa Rao			Drama
1998	Deergha Sumangali Bhava	S. V. Krishna Reddy	Rajasekhar	Ramya Krishnan			Drama
1998	Ulta Palta	Venky	Jagapathi Babu	Soundarya			Drama
1998	Daddy Daddy	Kodi Ramakrishna	Srikanth	Rachana			Drama
1998	Ayanagaru	Muthyala Subbaiah	Jagapathi Babu	Maheswari			Drama
1998	Eshwar Alla	Suresh Varma	Vineeth	Rachana			Drama
1998	Gillikajjalu	Evani Sathya Prabhakar	Jagapathi Babu	Meena			Drama
1998	Nenu Premisthunnanu	E V V Satyanarayana	Ravi Teja	Keerthi Reddy			Drama
1998	Subhavartha	Krishna Vijay	Suresh	Anandhi			Drama
1998	Andaru Herole	Umamaheswara Rao	Chandra Mohan	Brahmanandam			Action
1998	Prathista	R. Maharshi	Krishna	No Female Lead			Drama
1998	Kante Koothurne Kanu	Dasari Narayana Rao	Dasari Narayana Rao	Jayasudha			Drama
1998	Khaidi Garu	Evani Shankar	Srikanth	Vineetha			Drama
1998	O Panaipothundi Babu	Siva Nageswara Rao	Suresh	Ravi Teja			Drama
1998	Subhalekhalu	Muthyala Subbaiah	Jagapathi Babu	Rachana			Drama
1998	Pape Naa Pranam	B. V. Ramana	J. D. Chakravarthy	Meena			Drama
1998	Suryudu	Muthyala Subbaiah	Vijayakanth	Rambha			Action
1998	Maavidaakulu	E.V.V. Satyanarayana	Jagapathi Babu	Raasi			Drama
1998	Sambhavam	A. Kodandarami Reddy	Krishna	No Female Lead			Drama
1998	Vaibhavam	A. Kodandarami Reddy	Krishna	No Female Lead			Drama
1998	Amma Rajinama	Kodi Ramakrishna	Krishna	Sharada			Drama
1998	Pelli Peetalu	Kodi Ramakrishna	Jagapathi Babu	Soundarya			Drama
1998	Srimathi Vellostha	Kodi Ramakrishna	Jagapathi Babu	Soundarya			Drama
1998	Pelli Kanuka	Kodi Ramakrishna	Jagapathi Babu	Lakshmi			Drama
1998	Sri Sita Ramula Kalyanam Chootamu Raarandi	Y. V. S. Chowdary	Akkineni Nageswara Rao	Venkat			Drama
1998	Vareva Moguda	S. V. Krishna Reddy	Krishna	No Female Lead			Drama
1998	Navvulata	Gopichand Nadella	Rajendra Prasad	Maheshwari			Drama
1998	Padutha Theeyaga	Kodanda Rami Reddy	Vineeth	Simran			Drama
1998	Suprabhatam	Bhimaneni Srinivasa Rao	Srikanth	Raasi			Drama
1998	Rajahamsa	Singeetam Srinivasa Rao	Abbas	Sakshi Shivanand			Romance
1998	Prema Pallaki	Kodandarami Reddy	Jagapathi Babu	Raasi			Drama
1998	All Rounder	E V V Satyanarayana	Rajendra Prasad	Soundarya			Drama
1998	Mee Aayana Jagratha	Muthyala Ramadas	Rajendra Prasad	Roja			Drama
1997	Jai Bajarangabhali	Kodi Ramakrishna	Akkineni Nagarjuna	Sridevi			Action
1997	Aaro Pranam	Veeru K.	Vineeth	Soundarya			Drama
1997	Bobbili Dora	Sagar	Krishna	No Female Lead			Drama
1997	Korukunna Priyudu	K. Vasu	Vineeth	Anju Aravind			Drama
1997	Gokulamlo Seeta	Muthyala Subbaiah	Pawan Kalyan	Raasi			Drama
1997	Egire Paavurama	S. V. Krishna Reddy	Srikanth	Meena			Drama
1997	| Pattukondi Chuddam	Sarath	Jagapathi Babu	Rachana			Drama
1997	Abbayi Gari Pelli	Sarath	Suman	Simran Bagga			Drama
1997	Kurralla Rajyam	Kadambari Kirankumar	Ali	No Female Lead			Comedy
1997	Adhirindhi Guru	Sagar	Krishna	No Female Lead			Drama
1997	Chilakkottudu	E. V. V. Satyanarayana	Rajendra Prasad	Ramya Krishnan			Drama
1997	Rakshakudu	Praveen Gandhi	Akkineni Nagarjuna	Sushmita Sen			Action
1997	Priyaragalu	Muppalaneni Shiva	Jagapathi Babu	Maheswari			Drama
1997	Bala Ramayanam	Gunasekhar	Jr. NTR	Smitha			Drama
1997	Maa Nannaku Pelli	E. V. V. Satyanarayana	Krishnam Raju	Simran Bagga			Drama
1997	Rukmini	Ravi Raja Pinisetty and starring Vineeth and Preetha Vijayakumar	Vineeth	Preetha Vijayakumar			Drama
1997	Mama Bagunnava	Kodi Ramakrishna	Rajendra Prasad	No Female Lead			Comedy
1996	Pittala Dora	Kodi Ramakrishna	Srikanth	Roja			Drama
1996	Akka! Bagunnava?	Jandhyala	Naresh	Meena			Drama
1996	Adirindi Alludu	E.V.V. Satyanarayana	Mohan Babu	Ramya Krishnan			Drama
1996	Gulabi	Krishna Vamsi	Jagapathi Babu	Maheswari			Drama
1996	Maa Aavida Collector	Kodi Ramakrishna	Jagapathi Babu	Prema			Drama
1996	Jabilamma Pelli	Kodanda Rami Reddy	Jagapathi Babu	Rachana			Drama
1996	Amma Ammani Choodalanivundi	Sagar	Vinod Kumar	Ramya Krishnan			Drama
1996	Ooha	S.V. Krishna Reddy	Srikanth	Ooha			Drama
1996	Amma Durgamma	Om Sai Prakash	Sasikumar	Ooha			Drama
1996	Akkum Bakkum	Ram Gopal Varma	Krishna	Sakshi Sivanand			Drama
1996	Rayudugaru Nayudugaru	Dasari Narayana Rao	Akkineni Nageswara Rao	Kaikala Satyanarayana			Drama
1996	Srikaram	Muthyala Subbaiah	Jagapathi Babu	Rambha			Drama
1996	Puttinti Gowravam	K. Vasu	Krishna	No Female Lead			Drama
1996	Sampradayam	S. V. Krishna Reddy	Krishna	No Female Lead			Drama
1996	Gunshot	S.V. Krishna Reddy	Ali	Keerthi Reddy			Action
1995	Ayanaku Iddaru	E.V.V. Satyanarayana	Jagapathi Babu	Ramya Krishnan			Comedy
1995	Subhamastu	Krishna Vamsi	Jagapathi Babu	Aamani			Drama
1995	Mounam	C. Umamaheswara Rao	Charuhasan	Arvind Swamy			Drama
1995	Vaddu Bava Thappu	K. Ajay Kumar	Rajendra Prasad	Ravali			Drama
1995	Real Hero	S. S. Ravichandra	Krishna	Ravali			Drama
1995	Ketu Duplicatu	Relangi Narasimha Rao	Rajendra Prasad	Surabhi			Drama
1995	Rambantu	Bavu	Rajendra Prasad	No Female Lead			Drama
1995	Adavi Dora	K. Raghavendra Rao	Sobhan Babu	Nagma			Action
1995	Sankalpam	A. M. Rathnam	Jagapathi Babu	Jayasudha			Drama
1995	Orey Rikshaw	Dasari Narayana Rao	R. Narayana Murthy	Ravali			Drama
1995	Super Mogudu	Krishna	Krishna	Roja			Drama
1995	Bharata Simham	Sagar	Krishna	Ravali			Drama
1995	Dear Brother	S. S. Ravichandra	Krishna	Roja			Drama
1995	Ketu Duplicate	Relangi Narasimha Rao	Srikanth	Rambha			Drama
1995	Chilakapachcha Kaapuram	E.V.V. Satyanarayana	Jagapathi Babu	Meena			Drama
1995	Bhale Bullodu	Sarath	Allu Rama Lingaiah	Jagapati Babu			Comedy
1995	Raja Simham	K. Raghavendra Rao	Rajasekhar	Ramya Krishnan			Comedy
1994	Raitu Bharatam	Tripuraneni Chittibabu	Krishna	Yamuna			Drama
1994	Jailor Gaari Abbayi	Sarath Babu	Krishnam Raju	Jayasudha			Drama
1994	Maga Rayudu	E. V. V. Satyanarayana	Kota Srinivasa Rao	Vijayashanti			Drama
1994	Maa Voori Maaraju	Kodi Ramakrishna	Arjun	Soundarya			Drama
1994	Police Alludu	S. S. Ravichandra	Krishna	Malashri			Drama
1994	Angarakshakudu	Kodandarami Reddy	Rajasekhar	Meena			Action
1994	Gharana Alludu	Muthyala Subbaiah	Krishna	Ramya Krishna			Drama
1994	Pelli Koduku	Kodi Ramakrishna	Naresh	Sithara			Drama
1994	Number One	KSF Vissu	N.T. Rama Rao	Vanisri			Thriller
1994	Bramhachari Mogudu	Relangi Narasimha Rao	Rajendra Prasad	Yamuna			Drama
1994	Teerpu	Uppalapati Narayana Rao	Akkineni Nageswara Rao	Rohini Hattangadi			Drama
1994	Aavesam	Kodi Ramakrishna	Srikanth	Meena			Drama
1994	Yes Nenante Nene	S. S. Ravichandra	Krishna	Malashri			Drama
1994	Doragariki Donga Pellam	S. S. Ravichandra	Krishna	Roja			Drama
1994	Allarodu	K. Ajay Kumar	Rajendra Prasad	Surabhi			Drama
1994	Captain	Kodandarami Reddy	R. Sarathkumar	Suvalakshmi			Action
1994	Allari Premikudu	Kodandarami Reddy	Jagapathi Babu	Soundarya			Drama
1994	Ammayi Kapuram	Muthyala Subbaiah	Sarath Kumar	Sukanya			Drama
1994	Bangaru Kutumbam	Dasari Narayana Rao	Akkineni Nageswara Rao	Jayasudha			Drama
1994	Palnati Pourusham	Muthyala Subbaiah	Krishna	Bhanupriya			Action
1993	Paruvu Pratishta	Vasanth	Srikanth	Rambha			Drama
1993	Amma Koduku	K. Raghavendra Rao	Naresh	Sridevi			Drama
1993	Prema Pusthakam	G. Nageswara Reddy	Narendra	Vijayashanti			Drama
1993	Kunti Putrudu	Dasari Narayana Rao	Mohan Babu	Vijayashanti			Action
1993	Rendilla Poojari	Muthyala Subbaiah	Suresh	Sukanya			Drama
1993	Kondapalli Raja	Ravi Raja Pinisetty	Suman	Nagma			Drama
1993	Chittemma Mogudu	Kodanda Rami Reddy	Mohammad Ali	Rajeeva			Drama
1993	Akka Pethanam	Dasari Narayana Rao	Rajendra Prasad	Roja			Drama
1993	Rowdy Annayya	B. Gopal	Krishna	Shobana			Action
1993	Detective Narada	Vamsy	Mohan Babu	Urvashi			Action
1993	Srinatha Kavi Sarvabhowmudu	Bapu	N.T. Rama Rao	Jayasudha			Drama
1993	Parugo Parugu	Relangi Narasimha Rao	Rajendra Prasad	Sruthi			Drama
1993	Aasayam	Mohana Gandhi	Jagapathi Babu	Meena			Drama
1993	Chirunavvula Varamistava	Muthyala Subbaiah	Vikram	Tabu			Drama
1993	Pillalu Diddina Kapuram	Perala	Jagapathi Babu	Divyavani			Drama
1993	Kirayi Gunda	S. S. Ravichandra	Krishna	Malashri			Drama
1993	Major Chandrakanth	K. Raghavendra Rao	N.T. Rama Rao	Sharada			Action
1993	Kongu Chatu Krishnudu	K. Ajay Kumar	Naresh	Meena			Drama
1992	Prema Vijeta	Kodandarami Reddy	Suresh	Nagma			Drama
1992	Madhavayya Gari Manavadu	Muthyala Subbaiah	Harish Kumar	ANR			Drama
1992	Aswamedham	B. Gopal	Nandamuri Balakrishna	Shobana			Drama
1992	Atta Sommu Alludu Danam	Y. Nageswara Rao	Vinod Kumar	Roja			Drama
1992	Appula Appa Rao	E.V.V. Satyanarayana	Rajendra Prasad	Shobana			Drama
1992	Pranadaata	A. Kodandarami Reddy	Akkineni Nageswara Rao	Lakshmi			Drama
1992	Pellante Noorella Panta	Muthyala Subbaiah	S. P. Balasubrahmanyam	Srinivasa Varma			Drama
1992	Moratodu Naa Mogudu	A. Kodandarami Reddy	Rajasekhar	Meena			Drama
1992	Pellam Chatu Mogudu	Relangi Narasimha Rao	Dasari Narayana Rao	Vani Viswanath			Drama
1992	Sahasam	Suresh Krissna	Jagapathi Babu	No Female Lead			Action
1992	Prema Shikharam	S. V. Krishna Reddy	Jagapathi Babu	Rambha			Drama
1992	Jaganaddam and Sons	Anil Kumar	Suresh	Sindhuja			Drama
1992	Dabbu Bhale Jabbu	K. Rajendra	Raj Kumar	Sumalatha			Drama
1992	Adharsham	Bharathiraja	Jagapathi Babu	Ashwini Nachappa			Drama
1992	Chillara Mogudu Allari Koduku	Relangi Narasimha Rao	Chandra Mohan	Babu Mohan			Drama
1992	Doshi	Kodandarami Reddy	Akkineni Nageswara Rao	Vanisri			Drama
1992	Agreement	Manivannan	Nagendra Babu	Saranya			Drama
1992	Donga Police	K.S. Prakash Rao	Mohan Babu	Mamta Kulkarni			Action
1992	Allari Pilla	Kodi Ramakrishna	Suresh	Meena			Drama
1992	Bangaru Mama	K. Ajitha	Rajendra Prasad	Meena			Drama
1992	College Bullodu	Sarath	Akkineni Nageswara Rao	Nagma			Drama
1992	Raktha Tarpanam	Krishna	Krishna	Varsha			Drama
1992	Kala Rathrilo Kanne Pilla	Raj Kamal	Sharath	Abhilasha			Drama
1992	Ayyayyo Brahamayya	Kodi Ramakrishna	Rajendra Prasad	Shanthi Priya			Drama
1992	Rakta Tarpanam	Kodandarami Reddy	Rajendra Prasad	Roja			Drama
1992	Subba Rayudi Pelli	Dasari Narayana Rao	Rajendra Prasad	Aishwarya			Drama
1992	Joker Mama Super Alludu	K. Vasu	Brahmanandam	Jeeva			Comedy
1992	Swati Kiranam	K. Viswanath	Mammooty	Meena			Drama
1992	Seetapathi Chalo Tirupathi	Vijaya Bapineedu	Rajendra Prasad	Vani Viswanath			Drama
1992	Pellam Chebithe Vinali	Kodi Ramakrishna	Harish Kumar	Meena			Drama
1992	Akka Mogudu	Kodanda Rami Reddy	Rajasekhar	Yamuna			Drama
1992	Gang War	Kodi Ramakrishna	Bhanuchander, Vinod Kumar	Shobana			Drama
1992	Yagnam	Gopal B	Unknown	Sakshi Sivanand			Drama
1992	Mogudu Pellala Dongata	Relangi Narasimha Rao	Naresh	Divya Vani			Drama
1992	Pattudala	Kodi Ramakrishna	Suresh	Aishwarya			Drama
1992	Parvatalu Panakalu	Relangi Narasimha Rao	Rajendra Prasad	Shobana			Drama
1992	Pelli Neeku Sukham Naaku	P. N. Ramchandra Rao	Naresh	Divya Vani			Drama
1992	Gowramma	Kodandarami Reddy	Nandamuri Balakrishna	Nagma			Drama
1991	Sri Edukondala Swaami	Kamalakara Kameswara Rao	Arun Govil	Bhanupriya			Mythological
1991	Indra Bhavanam	Krishna	Krishna	Vijaya Nirmala			Drama
1991	Keechu Raallu	Kodi Ramakrishna	Rajendra Prasad	Anusha			Drama
1991	Aada Pilla	Kodanda Rami Reddy	Rajendra Prasad	Nirosha			Drama
1991	Prema Thapassu	Vamsy	Rajendra Prasad	Roja			Drama
1991	Ashwini	Muthyala Subbaiah	Babu Mohan	Anuradha			Drama
1991	Peddintalludu	Sarath	Sobhan Babu	Radha			Drama
1991	Pandirimancham	Relangi Narasimha Rao	Jagapathi Babu	Rambha			Drama
1991	Parama Sivudu	Yogesh Seetha Ramaiah	Krishna	Sridevi			Drama
1991	Athiradhudu	A. Chandra	Bhanu Chander	Nirosha			Action
1991	Seetharamayya Gari Manavaralu	Kranthi Kumar	Akkineni Nageswara Rao	Meena			Drama
1991	Nayakuralu	Sharath	Vinod Kumar	Sharada			Drama
1991	Parishkaram	Tarani	Rajasekhar	Urvashi			Drama
1991	Teneteega	M. Nanda Kumar	Rajendra Prasad	Sithara			Drama
1991	Aagraham	K. S. Ravi	Rajasekhar	Amala			Drama
1991	Yugantam	S. B. Chakravarthy	Murali Mohan	Roja			Drama
1991	Vichitra Prema	Kodanda Rami Reddy	Naresh	Rupini			Drama
1991	Naa Pellam Naa Ishtam	Gedhada Anand Babu	Naresh	Vijaya Rekha			Drama
1991	Niyantha	Dasari Narayana Rao	Dasari Narayana Rao	No Female Lead			Drama
1990	Udhyamam	K. Ranga Rao	Bhanu Chander	Yamuna			Drama
1990	Guru Sishyulu	S.P. Muthuraman	Krishnam Raju	No Female Lead			Drama
1990	20va Shatabdam	Kodi Ramakrishna	Suman	Lizzy			Drama
1990	Matti Manushulu	Kodandarami Reddy		Rajani			Drama
1990	Mrugathrushna	P. Sambasiva Rao	Murali Mohan	Revathi			Drama
1990	Kartavyam	Mohan Gandhi	Vijayashanti	Vijayashanti			Drama
1990	Adavi Diviteelu	Ravi Raja Pinisetty	Akkineni Nageswara Rao	Sridevi			Drama
1990	Inspector Rudra	Mohana Gandhi	Krishna	Rajani			Action
1990	Master Kapuram	K. Vasu	Rajendra Prasad	Shobana			Drama
1990	Yamadharma Raju	Sharath		Shobana			Drama
1990	Abhisarika	Muthyala Subbaiah	Naresh	Pooja Gandhi is not correct, however,  the heroine is Unknown			Drama
1990	Agni Pravesam	Yandamoori	Sivaji Raja	Yamuna			Action
1990	Anna Thammudu	Krishna	Krishna	Anjali			Drama
1990	Manasu Mamata	Mouli	Naresh	Shobana			Drama
1990	Prema Zindabad	P. N. Ramachandra Rao	Rajendra Prasad	Shobana			Drama
1990	Lakshmi Durga	Raghuram	Naresh	Bhanupriya			Drama
1990	Yauvana Poratham	Fazil	Abbas	Tabu			Drama
1990	Rambha Rambabu	Kodi Ramakrishna	Rajendra Prasad	Chandni			Comedy
1990	Mahajananiki Maradalu Pilla	Vallabhaneni Jhanardan	Rajendra Prasad	Nirosha			Drama
1990	Kadapa Redamma	Kodandarami Reddy	Rajasekhar	Rambha			Drama
1990	Agni Sakshi	Ramesh Sippy	Jackie Shroff	Amrita Singh			Drama
1990	Ramba Rambabu	Relangi Narasimha Rao	Rajendra Prasad	Parijata			Drama
1990	Prajala Manishi	M. Rosi Raju	Krishna	Vijayashanti			Drama
1990	Nagastram	Krishna	Krishna	Vijayashanti			Drama
1990	Rajasekhar	K. S. Prakash Rao	Rajasekhar	Maheswari			Drama
1990	Idem Pellam Baboi	Ravi Teja	Rajendra Prasad	Radhika			Drama
1990	Ankusam	Kodi Ramakrishna	Rajasekhar	Jeevitha			Action
1990	Prananiki Pranam	Chalamme	Nandamuri Balakrishna	Rajani			Drama
1990	Ankitham	Kodanda Rami Reddy	Sarath Babu	Gautami			Drama
1990	Navayugam	K. S. Sethumadhavan	Rajendra Prasad	Meena			Drama
1990	Aayudham	Kodi Ramakrishna	Krishna	Rambha			Action
1990	Dagudumuthala Dampathyam	Relangi Narasimha Rao	Akkineni Nageswara Rao	Jayasudha			Drama
1989	Sahasame Naa Oopiri	Vijaya Nirmala	Krishna	Vijaya Nirmala			Drama
1989	Chalaki Mogudu Chavali Pellam	Relangi Narasimha Rao	Rajendra Prasad	Rajani			Drama
1989	Ashoka Chakravarthy	Suresh Krissna	Nandamuri Balakrishna	Bhanupriya			Drama
1989	Adavilo Abhimanyudu	Kodandarami Reddy	Jagapathi Babu	Madhavi			Drama
1989	Mouna Poratam	Mohan Gandhi	Karthik	Raadhika			Drama
1989	Ajatha Satruvu	Kodandarami Reddy	Krishna	Bhanupriya			Action
1989	Vichitra Sodarulu	Kodanda Rami Reddy	Kamal Haasan	Ashwini			Drama
1989	Swathi Chinukulu	Sri Chakravarthy for producer T	Sarath Babu	Ramya Krishnan			Drama
1989	Bharyalu Jagratha	Kodanda Rami Reddy	Rahman	Poornima			Drama
1989	Mamatala Kovela	Kodandarami Reddy	Rajendra Prasad	Shantipriya			Drama
1989	Yamapaasam	Kodanda Rami Reddy	Rajasekhar	Roja			Drama
1989	Srirama Chandrudu	Deva Das Kanakala	Krishnan	Ramya Krishnan			Drama
1989	Manchu Kutumbam	Relangi Narasimha Rao	Rajendra Prasad	Rambha			Drama
1989	Vijay	B. Gopal	Akkineni Nagarjuna	Vijayashanti			Action
1989	Paila Pacheesu	Kodi Ramakrishna	Rajendra Prasad	Radha			Drama
1989	Sakshi	K. S. R. Das	Vijayashanti	Vijayashanti			Drama
1989	Rajakeeya Chadarangam	Kodandarami Reddy	Krishna	Sujatha			Drama
1989	Sarvabhoumudu	K. Raghavendra Rao	Krishna	Shobana			Drama
1989	Goonda Rajyam	Kodandarami Reddy	Krishna	Sridevi			Action
1989	Kokila	Geetha Krishna	Naresh	Shobana			Drama
1989	Jayamu Nischayamu Raa	Jandhyala	Rajendra Prasad	Sumalatha			Drama
1989	Zoo Laka Taka	Vijaya Bapineedu	Rajendra Prasad	Tulasi			Drama
1989	Muddula Mavayya	Kodandarami Reddy	Nandamuri Balakrishna	Vijayashanti			Drama
1989	Parthudu	K.S.R. Das	Krishna	Radha			Drama
1989	Rickshawala	Krishna	Krishna	Bhanupriya			Drama
1989	Bhale Dampathulu	Kodi Ramakrishna	Naresh	Sithara			Drama
1989	Anna Chellalu	Ravi Raja Pinisetty	Sobhan Babu	Rambha			Drama
1989	Joo Laka Taka	G. Madhusudhan Rao	Rajendra Prasad	Thulasi			Drama
1989	Muthyamantha Muddu	Ravi Raja Pinisetty	Rajendra Prasad	Seetha			Drama
1989	Bharata Nari	Muthyala Subbaiah	Vinod Kumar	Vijayashanti			Drama
1988	Choopulu Kalasina Subhavela	Jandhyala	Mohan	Naresh			
1988	Praja Prathinidhi	Krishna	Krishna	Jaya Prada			Drama
1988	Dorakani Donga	K.S.R. Das	Krishna	Radha			Drama
1988	Sri Kanaka Mahalakshmi Recording Dance Troupe	Vamsy	Naresh	Madhuri			Drama
1988	Bazaar Rowdy	A. Kodandarami Reddy	Ramesh Babu	Nadia			Action
1988	Jamadagni	Bharathiraja	Krishna	Radha			Mythological
1988	Donga Kollu	Kodandarami Reddy	Rajendra Prasad	Sumalatha			Drama
1988	Abhinandana	Ashok Kumar	Kartheek	Shobana			Drama
1988	Chikkadu Dorakadu	Relangi Narasimha Rao	Rajendra Prasad	Ashwini			Drama
1988	Prana Snehithulu	V. Madhusudhana Rao	Rajendra Prasad	Radha			Drama
1988	Chuttalabbayi	Relangi Narasimha Rao	Krishna	Kushboo			Drama
1988	Donga Ramudu	Kodanda Rami Reddy	Nandamuri Balakrishna	Rajani			Drama
